Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4492.75,наличный,Гродно,Беларусбанк-VYFM-526,29-08-2020,15:05:27,успешно,да,222.28
юр. лицо,списание средств,2086.37,наличный,Витебск,Белинвестбанк-XNIQ-352,14-11-2019,21:12:40,успешно,нет,0.0
физ. лицо,списание средств,2501.77,безналичный,Гомель,Беларусбанк-RJPF-180,17-11-2012,06:01:35,недостаточно средств,да,250.0
юр. лицо,получение средств,2110.86,наличный,Брест,Приорбанк-JXGR-081,09-05-2021,17:41:59,успешно,нет,0.0
юр. лицо,получение средств,25.62,безналичный,Могилев,Беларусбанк-BPSX-494,10-11-2000,17:46:41,успешно,нет,0.0
физ. лицо,списание средств,3012.19,безналичный,Гродно,МаксБанк-BOZD-543,16-09-2015,10:47:51,успешно,да,272.55
юр. лицо,списание средств,1131.93,безналичный,Минск,МаксБанк-WDXF-628,19-04-2012,06:48:23,недостаточно средств,нет,0.0
физ. лицо,получение средств,481.99,безналичный,Витебск,МаксБанк-XXXF-324,05-12-2016,20:41:44,успешно,нет,0.0
юр. лицо,списание средств,1513.66,наличный,Могилев,Приорбанк-FXAW-843,17-09-2024,04:37:59,недостаточно средств,да,138.11
физ. лицо,списание средств,758.87,безналичный,Брест,МаксБанк-SORC-609,22-03-2005,21:28:55,недостаточно средств,да,48.77
физ. лицо,списание средств,1143.05,безналичный,Гомель,Белинвестбанк-WNIB-352,27-05-2001,14:11:27,успешно,нет,0.0
физ. лицо,получение средств,1805.5,безналичный,Могилев,Приорбанк-XRXI-549,21-07-2011,12:35:21,успешно,нет,0.0
физ. лицо,списание средств,4704.65,наличный,Витебск,Беларусбанк-WEVW-387,30-05-2022,11:40:29,неправильный ввод пин-кода,да,329.2
физ. лицо,получение средств,4999.33,безналичный,Витебск,Приорбанк-KZKL-361,15-03-2017,13:38:49,успешно,нет,0.0
физ. лицо,получение средств,876.14,наличный,Брест,МаксБанк-MJND-137,10-12-2003,01:12:46,успешно,нет,0.0
физ. лицо,получение средств,2668.69,безналичный,Брест,Беларусбанк-TYIP-713,29-03-2002,17:11:49,успешно,нет,0.0
физ. лицо,получение средств,3552.09,безналичный,Витебск,Белинвестбанк-GPEL-263,31-07-2018,10:01:38,успешно,нет,0.0
юр. лицо,списание средств,4488.54,безналичный,Минск,Приорбанк-WMKY-042,15-04-2009,08:23:01,успешно,да,418.51
юр. лицо,получение средств,3723.6,наличный,Минск,БелАгропромбанк-ATLS-554,12-01-2024,09:05:28,успешно,нет,0.0
физ. лицо,списание средств,759.97,наличный,Гродно,Белинвестбанк-EEQR-467,03-02-2018,00:55:26,успешно,да,39.56
физ. лицо,получение средств,3609.83,наличный,Могилев,МаксБанк-VPTV-290,13-05-2002,10:32:31,успешно,нет,0.0
юр. лицо,получение средств,2442.75,безналичный,Гомель,БелАгропромбанк-PXGH-826,09-08-2000,16:31:17,успешно,нет,0.0
юр. лицо,списание средств,4027.26,наличный,Гродно,БелАгропромбанк-QYTA-413,26-03-2013,13:49:24,недостаточно средств,да,247.29
физ. лицо,списание средств,4038.11,наличный,Витебск,МаксБанк-RWPN-575,16-08-2021,18:08:17,недостаточно средств,да,300.01
физ. лицо,получение средств,3047.11,безналичный,Брест,Белинвестбанк-MIKT-838,28-11-2023,09:43:20,успешно,нет,0.0
юр. лицо,списание средств,4184.93,безналичный,Могилев,Приорбанк-HLQL-449,21-10-2018,03:00:10,недостаточно средств,нет,0.0
юр. лицо,получение средств,2760.31,наличный,Могилев,БелАгропромбанк-NHAE-503,01-01-2014,16:37:47,успешно,нет,0.0
физ. лицо,получение средств,874.28,безналичный,Брест,Белинвестбанк-BVIA-527,10-02-2010,09:15:04,успешно,нет,0.0
физ. лицо,получение средств,4893.74,наличный,Гомель,БелАгропромбанк-NAGC-459,31-10-2013,17:50:28,успешно,нет,0.0
физ. лицо,получение средств,2326.94,безналичный,Могилев,Приорбанк-AGYB-064,06-11-2017,23:47:46,успешно,нет,0.0
физ. лицо,получение средств,1702.06,наличный,Гродно,Приорбанк-YNHO-007,06-10-2017,03:10:34,успешно,нет,0.0
физ. лицо,списание средств,4347.4,наличный,Гродно,Приорбанк-TFXM-231,14-04-2016,19:55:25,успешно,да,369.86
физ. лицо,получение средств,249.72,наличный,Брест,Белинвестбанк-ESEH-586,12-06-2023,15:10:53,успешно,нет,0.0
физ. лицо,получение средств,4960.26,безналичный,Брест,Приорбанк-FYRH-187,05-06-2003,14:45:07,успешно,нет,0.0
физ. лицо,списание средств,731.41,наличный,Минск,МаксБанк-VUFW-614,14-04-2002,23:54:15,недостаточно средств,да,43.79
физ. лицо,получение средств,3145.77,безналичный,Могилев,Беларусбанк-IQHS-581,05-11-2013,12:21:48,успешно,нет,0.0
физ. лицо,списание средств,2309.29,наличный,Брест,Белинвестбанк-GCQV-104,12-10-2016,06:47:35,недостаточно средств,да,128.99
физ. лицо,списание средств,268.13,безналичный,Витебск,БелАгропромбанк-PSUO-377,09-02-2015,22:38:59,недостаточно средств,да,26.59
физ. лицо,получение средств,3164.33,безналичный,Витебск,МаксБанк-HRPK-345,16-11-2001,06:52:59,успешно,нет,0.0
юр. лицо,получение средств,1437.0,наличный,Минск,МаксБанк-NQOI-070,04-02-2022,05:06:56,успешно,нет,0.0
физ. лицо,списание средств,3107.66,безналичный,Витебск,Беларусбанк-TIYH-981,08-05-2023,03:58:28,успешно,да,236.59
юр. лицо,списание средств,3173.56,безналичный,Витебск,Приорбанк-ETRG-284,07-06-2024,16:09:26,недостаточно средств,да,316.68
физ. лицо,получение средств,2994.66,безналичный,Брест,Приорбанк-QPMF-880,15-07-2015,14:55:27,успешно,нет,0.0
юр. лицо,списание средств,2225.51,безналичный,Гродно,Приорбанк-GZZS-167,28-06-2022,23:01:54,успешно,нет,0.0
юр. лицо,получение средств,3722.94,наличный,Минск,Белинвестбанк-ETND-239,15-12-2007,15:44:44,успешно,нет,0.0
юр. лицо,получение средств,3192.87,наличный,Минск,Белинвестбанк-VDGW-907,17-12-2014,07:04:13,успешно,нет,0.0
физ. лицо,получение средств,3434.31,наличный,Минск,БелАгропромбанк-LRYD-000,03-12-2018,03:11:28,успешно,нет,0.0
физ. лицо,списание средств,4717.95,безналичный,Витебск,Белинвестбанк-QIQC-622,22-10-2013,06:44:20,успешно,нет,0.0
физ. лицо,списание средств,4899.63,наличный,Брест,БелАгропромбанк-TKKU-551,20-03-2019,03:43:56,успешно,нет,0.0
физ. лицо,списание средств,1372.12,наличный,Брест,Приорбанк-DWFQ-459,26-07-2018,18:05:04,неправильный ввод пин-кода,да,47.01
юр. лицо,списание средств,453.06,наличный,Гомель,Белинвестбанк-XONJ-719,18-02-2011,05:11:45,недостаточно средств,да,43.51
физ. лицо,списание средств,3598.59,безналичный,Минск,Белинвестбанк-WVEG-671,21-05-2024,05:06:13,успешно,нет,0.0
физ. лицо,получение средств,4011.15,наличный,Гомель,Приорбанк-PLWS-154,22-02-2010,15:55:32,успешно,нет,0.0
юр. лицо,списание средств,482.35,безналичный,Могилев,МаксБанк-GDCA-013,16-08-2001,22:42:37,неправильный ввод пин-кода,да,47.72
юр. лицо,списание средств,1057.89,безналичный,Могилев,Беларусбанк-AIYN-790,19-11-2005,12:45:27,успешно,нет,0.0
юр. лицо,списание средств,4531.5,безналичный,Витебск,БелАгропромбанк-KFPD-475,13-06-2004,20:54:22,недостаточно средств,нет,0.0
физ. лицо,списание средств,1438.53,наличный,Витебск,Приорбанк-RCRV-402,21-03-2013,06:35:58,неправильный ввод пин-кода,да,96.98
физ. лицо,получение средств,4621.86,безналичный,Минск,Беларусбанк-CXZX-452,22-12-2022,10:13:12,успешно,нет,0.0
физ. лицо,списание средств,869.24,наличный,Могилев,Беларусбанк-TKOD-146,03-04-2006,04:16:24,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1540.96,наличный,Гомель,Белинвестбанк-NTLB-507,17-09-2012,04:34:59,успешно,нет,0.0
юр. лицо,получение средств,1664.72,безналичный,Брест,Беларусбанк-OGKF-786,18-07-2022,23:40:00,успешно,нет,0.0
юр. лицо,списание средств,4777.02,наличный,Минск,Приорбанк-VZVB-887,07-02-2016,18:17:45,успешно,нет,0.0
физ. лицо,списание средств,3376.61,безналичный,Гродно,БелАгропромбанк-HRWV-422,25-11-2001,23:03:01,недостаточно средств,да,52.07
физ. лицо,получение средств,4399.35,наличный,Гомель,Беларусбанк-QSPH-092,19-04-2004,02:21:46,успешно,нет,0.0
физ. лицо,получение средств,2589.44,наличный,Витебск,Приорбанк-EXFS-927,02-10-2013,11:22:22,успешно,нет,0.0
юр. лицо,списание средств,1805.31,наличный,Могилев,Белинвестбанк-EIFW-800,30-09-2024,10:08:10,недостаточно средств,нет,0.0
юр. лицо,получение средств,1230.54,наличный,Минск,Белинвестбанк-RHVP-693,16-12-2003,12:20:34,успешно,нет,0.0
физ. лицо,получение средств,3566.78,безналичный,Брест,БелАгропромбанк-AWFX-683,13-04-2007,14:58:45,успешно,нет,0.0
физ. лицо,получение средств,3665.07,безналичный,Минск,Белинвестбанк-CJUK-886,16-07-2010,10:02:20,успешно,нет,0.0
юр. лицо,списание средств,2767.7,безналичный,Минск,МаксБанк-UESE-364,04-10-2024,00:39:02,успешно,да,87.02
физ. лицо,списание средств,2241.82,безналичный,Гродно,МаксБанк-SRSQ-159,02-01-2002,23:38:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4409.19,наличный,Гродно,Беларусбанк-ZOEQ-385,08-08-2011,06:18:08,неправильный ввод пин-кода,да,92.77
физ. лицо,получение средств,3312.31,наличный,Витебск,МаксБанк-HHSS-553,18-10-2021,14:45:31,успешно,нет,0.0
юр. лицо,получение средств,3252.45,безналичный,Витебск,Приорбанк-CXQS-217,10-01-2004,17:12:02,успешно,нет,0.0
физ. лицо,получение средств,3413.09,безналичный,Гродно,МаксБанк-STSD-876,27-01-2008,10:27:55,успешно,нет,0.0
физ. лицо,получение средств,703.6,наличный,Могилев,Беларусбанк-FBDY-693,09-11-2023,17:27:31,успешно,нет,0.0
физ. лицо,списание средств,3700.59,безналичный,Гомель,Приорбанк-TYWT-280,19-12-2003,17:23:10,успешно,да,71.82
физ. лицо,получение средств,4221.46,безналичный,Витебск,Беларусбанк-KQCL-984,07-04-2016,13:08:53,успешно,нет,0.0
юр. лицо,списание средств,2281.72,наличный,Витебск,Белинвестбанк-QEJA-234,27-11-2021,02:53:51,неправильный ввод пин-кода,да,214.71
физ. лицо,получение средств,3484.29,безналичный,Минск,МаксБанк-YQQA-081,20-09-2001,08:09:05,успешно,нет,0.0
юр. лицо,получение средств,327.5,наличный,Могилев,БелАгропромбанк-YSUQ-142,16-05-2002,16:26:04,успешно,нет,0.0
физ. лицо,списание средств,805.92,наличный,Витебск,Беларусбанк-IUZB-271,16-06-2020,12:15:46,успешно,нет,0.0
физ. лицо,получение средств,3342.39,безналичный,Гродно,Беларусбанк-USFD-272,20-10-2006,01:12:52,успешно,нет,0.0
юр. лицо,получение средств,4416.09,безналичный,Могилев,БелАгропромбанк-IJSG-822,28-05-2003,15:04:51,успешно,нет,0.0
юр. лицо,получение средств,1703.03,безналичный,Могилев,Беларусбанк-GHOD-715,07-02-2003,18:18:57,успешно,нет,0.0
юр. лицо,списание средств,1083.42,наличный,Гродно,Белинвестбанк-YDZI-063,25-02-2011,01:33:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,105.48,безналичный,Витебск,Приорбанк-WYYV-771,20-10-2024,19:35:03,успешно,нет,0.0
юр. лицо,списание средств,2340.06,наличный,Могилев,БелАгропромбанк-DEMU-187,19-05-2003,08:56:07,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2019.32,наличный,Могилев,Белинвестбанк-GXPW-249,24-01-2003,07:52:57,успешно,нет,0.0
физ. лицо,списание средств,4702.39,безналичный,Витебск,БелАгропромбанк-QKGC-852,13-05-2015,22:20:51,неправильный ввод пин-кода,да,218.81
юр. лицо,получение средств,1089.31,безналичный,Брест,Беларусбанк-FGCH-899,31-08-2019,06:13:09,успешно,нет,0.0
юр. лицо,списание средств,2687.66,безналичный,Гродно,Приорбанк-NINZ-463,27-08-2005,09:01:09,недостаточно средств,да,74.86
физ. лицо,списание средств,2397.37,наличный,Гомель,БелАгропромбанк-MWHK-905,14-04-2000,21:38:26,успешно,нет,0.0
юр. лицо,получение средств,1249.83,наличный,Гродно,МаксБанк-VTUT-924,27-07-2021,05:00:03,успешно,нет,0.0
юр. лицо,списание средств,971.84,наличный,Могилев,МаксБанк-FVAS-988,11-01-2017,08:51:14,недостаточно средств,да,43.99
физ. лицо,получение средств,4717.06,безналичный,Гродно,Белинвестбанк-YVDL-602,03-01-2012,16:13:56,успешно,нет,0.0
юр. лицо,получение средств,4707.94,наличный,Минск,Беларусбанк-CNWS-613,19-12-2011,08:50:26,успешно,нет,0.0
юр. лицо,списание средств,4711.85,наличный,Гродно,Беларусбанк-OCRJ-395,03-09-2023,19:48:24,недостаточно средств,нет,0.0
физ. лицо,списание средств,125.92,безналичный,Гродно,МаксБанк-IIQR-494,19-11-2007,13:53:47,успешно,да,3.56
юр. лицо,получение средств,438.34,наличный,Минск,Беларусбанк-BXCI-631,26-11-2003,18:15:31,успешно,нет,0.0
юр. лицо,списание средств,3088.44,наличный,Витебск,Беларусбанк-BOMJ-135,01-07-2006,08:05:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1616.54,безналичный,Брест,БелАгропромбанк-EIAG-044,09-05-2006,13:30:54,успешно,нет,0.0
юр. лицо,получение средств,2687.18,наличный,Витебск,Приорбанк-EOIB-806,19-08-2008,12:55:03,успешно,нет,0.0
юр. лицо,списание средств,1256.28,безналичный,Брест,Беларусбанк-GUPG-722,02-04-2014,00:41:34,недостаточно средств,нет,0.0
физ. лицо,получение средств,4120.85,наличный,Витебск,Беларусбанк-OTOY-702,30-05-2017,17:40:33,успешно,нет,0.0
юр. лицо,списание средств,2831.28,наличный,Витебск,Приорбанк-AOHX-422,23-03-2019,07:07:30,недостаточно средств,нет,0.0
физ. лицо,получение средств,4570.85,наличный,Минск,Беларусбанк-NYZJ-614,10-02-2016,18:09:36,успешно,нет,0.0
юр. лицо,списание средств,3590.48,наличный,Гомель,Белинвестбанк-ZHBR-757,13-04-2017,19:45:46,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4730.18,наличный,Гомель,Белинвестбанк-HROV-150,16-10-2024,23:06:35,неправильный ввод пин-кода,да,52.73
юр. лицо,получение средств,3011.58,наличный,Минск,Приорбанк-RLXK-318,15-01-2003,02:55:07,успешно,нет,0.0
физ. лицо,списание средств,1779.47,наличный,Могилев,Беларусбанк-AYNN-118,24-09-2020,05:57:31,неправильный ввод пин-кода,да,165.89
юр. лицо,списание средств,2468.0,безналичный,Витебск,Приорбанк-OICQ-603,27-03-2002,18:19:09,успешно,да,206.85
физ. лицо,получение средств,3883.21,безналичный,Витебск,БелАгропромбанк-TDRH-727,08-01-2010,08:11:32,успешно,нет,0.0
юр. лицо,списание средств,1019.81,наличный,Минск,БелАгропромбанк-LGHK-676,17-11-2020,00:56:13,успешно,нет,0.0
физ. лицо,списание средств,613.01,безналичный,Гродно,БелАгропромбанк-SHZN-954,09-02-2011,12:41:46,успешно,да,28.0
физ. лицо,списание средств,3858.14,наличный,Минск,Белинвестбанк-XRRZ-497,19-07-2016,22:56:52,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2927.33,наличный,Гомель,Белинвестбанк-WBKA-621,15-09-2016,14:00:27,успешно,нет,0.0
физ. лицо,списание средств,1534.77,безналичный,Брест,Белинвестбанк-KIPG-869,20-03-2008,08:04:09,недостаточно средств,нет,0.0
юр. лицо,списание средств,4638.82,наличный,Могилев,Беларусбанк-XWTQ-264,18-04-2003,10:21:20,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1437.43,наличный,Гомель,Приорбанк-OOVF-110,04-02-2012,14:18:04,успешно,нет,0.0
юр. лицо,получение средств,2482.41,безналичный,Гомель,Беларусбанк-EIAA-568,29-06-2018,08:56:24,успешно,нет,0.0
юр. лицо,списание средств,3776.58,наличный,Могилев,БелАгропромбанк-EOVY-389,26-09-2010,08:44:44,недостаточно средств,да,214.15
юр. лицо,списание средств,2179.62,наличный,Гродно,Белинвестбанк-ZKHV-732,15-08-2002,01:33:14,успешно,да,119.45
юр. лицо,списание средств,308.24,безналичный,Могилев,Беларусбанк-AAZJ-171,06-09-2016,15:33:17,недостаточно средств,нет,0.0
физ. лицо,списание средств,4558.69,наличный,Витебск,Беларусбанк-KDOF-288,22-09-2016,04:52:10,неправильный ввод пин-кода,да,102.32
физ. лицо,списание средств,195.26,наличный,Минск,Беларусбанк-GPER-330,04-10-2021,08:04:46,успешно,нет,0.0
физ. лицо,получение средств,1128.83,безналичный,Витебск,БелАгропромбанк-HKPZ-566,08-01-2023,03:09:09,успешно,нет,0.0
юр. лицо,списание средств,486.7,наличный,Могилев,Беларусбанк-EUGC-622,09-01-2018,17:10:54,неправильный ввод пин-кода,да,17.78
юр. лицо,получение средств,140.99,безналичный,Могилев,Приорбанк-MTAI-701,18-09-2013,08:16:26,успешно,нет,0.0
физ. лицо,получение средств,4983.22,наличный,Гродно,Белинвестбанк-HRLW-552,09-02-2016,05:59:36,успешно,нет,0.0
физ. лицо,списание средств,4496.63,безналичный,Гомель,Беларусбанк-QJPR-062,21-05-2001,01:37:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3954.1,безналичный,Могилев,Беларусбанк-PCCX-566,18-07-2001,14:19:15,успешно,да,336.82
физ. лицо,списание средств,2118.27,безналичный,Минск,Приорбанк-MGDK-312,14-04-2023,12:03:22,неправильный ввод пин-кода,да,177.23
физ. лицо,списание средств,1350.05,безналичный,Гомель,МаксБанк-XBOD-444,21-12-2009,03:24:57,успешно,да,117.13
юр. лицо,списание средств,98.56,наличный,Могилев,МаксБанк-IKEJ-403,07-03-2021,21:39:57,недостаточно средств,нет,0.0
юр. лицо,списание средств,4233.42,наличный,Брест,Приорбанк-GZSX-373,13-03-2007,16:36:21,успешно,нет,0.0
физ. лицо,получение средств,1370.23,наличный,Гомель,МаксБанк-NJFJ-878,12-09-2000,18:10:03,успешно,нет,0.0
физ. лицо,получение средств,4094.05,безналичный,Витебск,Беларусбанк-ULTS-017,18-06-2021,19:03:42,успешно,нет,0.0
юр. лицо,списание средств,1266.74,наличный,Могилев,Беларусбанк-FWQK-739,12-09-2001,14:22:23,недостаточно средств,да,37.13
физ. лицо,получение средств,2354.65,безналичный,Минск,БелАгропромбанк-HPDA-882,27-02-2000,04:54:39,успешно,нет,0.0
физ. лицо,списание средств,4704.69,безналичный,Минск,БелАгропромбанк-PVEC-670,14-09-2023,08:25:25,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4577.44,наличный,Гродно,Приорбанк-WAID-835,20-05-2016,18:37:09,успешно,нет,0.0
физ. лицо,получение средств,3065.63,наличный,Гомель,Приорбанк-DHTD-208,19-04-2022,09:58:19,успешно,нет,0.0
юр. лицо,списание средств,522.54,наличный,Гродно,БелАгропромбанк-UJEK-146,07-06-2008,06:37:42,успешно,да,13.64
физ. лицо,списание средств,3247.17,безналичный,Минск,Беларусбанк-ZCTS-305,07-11-2003,12:32:46,успешно,нет,0.0
юр. лицо,списание средств,4514.03,наличный,Брест,Приорбанк-JMFJ-666,01-03-2018,10:14:13,недостаточно средств,нет,0.0
юр. лицо,получение средств,3731.84,наличный,Гродно,МаксБанк-NPLX-869,20-12-2019,04:51:12,успешно,нет,0.0
физ. лицо,получение средств,2642.97,наличный,Гомель,Беларусбанк-HNYG-786,20-04-2015,04:27:25,успешно,нет,0.0
юр. лицо,получение средств,2272.45,наличный,Гомель,Приорбанк-HAOJ-681,07-01-2023,03:57:02,успешно,нет,0.0
юр. лицо,получение средств,4720.23,наличный,Витебск,БелАгропромбанк-GUYM-818,02-04-2001,13:57:14,успешно,нет,0.0
юр. лицо,получение средств,850.32,безналичный,Гомель,Беларусбанк-TMOJ-785,02-03-2000,21:46:30,успешно,нет,0.0
физ. лицо,получение средств,4869.02,безналичный,Гродно,Белинвестбанк-ZAIU-715,15-02-2005,05:23:25,успешно,нет,0.0
физ. лицо,списание средств,4569.92,наличный,Минск,Белинвестбанк-TFDT-543,17-07-2023,20:57:05,успешно,нет,0.0
физ. лицо,списание средств,3603.86,наличный,Брест,Приорбанк-AYFD-499,02-05-2007,13:23:14,неправильный ввод пин-кода,да,92.57
юр. лицо,списание средств,1928.29,наличный,Гродно,БелАгропромбанк-DJVQ-650,02-03-2006,00:53:58,успешно,да,122.47
физ. лицо,получение средств,1258.16,безналичный,Витебск,Белинвестбанк-NVBA-863,03-06-2008,11:45:27,успешно,нет,0.0
юр. лицо,получение средств,920.71,наличный,Брест,Приорбанк-HVNP-512,27-02-2006,13:45:35,успешно,нет,0.0
юр. лицо,списание средств,336.03,наличный,Витебск,Белинвестбанк-QWCC-920,25-09-2002,09:13:33,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4875.81,безналичный,Гомель,БелАгропромбанк-RQYB-110,05-11-2001,06:48:32,успешно,нет,0.0
физ. лицо,получение средств,4806.94,наличный,Минск,МаксБанк-JEWW-687,23-11-2020,09:20:48,успешно,нет,0.0
юр. лицо,списание средств,891.67,безналичный,Гомель,БелАгропромбанк-MDIB-255,17-06-2003,02:35:51,недостаточно средств,да,64.54
юр. лицо,списание средств,761.12,безналичный,Брест,МаксБанк-MAPP-136,06-10-2009,23:47:03,неправильный ввод пин-кода,да,37.64
физ. лицо,списание средств,1218.91,безналичный,Гродно,Беларусбанк-EKLD-205,07-01-2004,23:15:15,успешно,нет,0.0
физ. лицо,получение средств,4696.08,безналичный,Брест,Приорбанк-KNMP-746,04-11-2012,05:02:27,успешно,нет,0.0
юр. лицо,списание средств,1661.07,наличный,Гомель,МаксБанк-DXPK-703,10-05-2021,02:54:48,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3581.46,наличный,Могилев,Белинвестбанк-OPCR-852,08-11-2009,20:20:29,успешно,нет,0.0
физ. лицо,списание средств,4026.96,наличный,Гродно,Белинвестбанк-FGJI-560,02-10-2000,19:42:10,недостаточно средств,да,302.86
физ. лицо,получение средств,4688.65,безналичный,Минск,БелАгропромбанк-ICGS-804,07-06-2005,14:29:26,успешно,нет,0.0
физ. лицо,списание средств,1076.37,наличный,Гродно,Приорбанк-QWCX-911,13-10-2023,18:36:12,неправильный ввод пин-кода,да,82.59
юр. лицо,списание средств,50.48,наличный,Гродно,Беларусбанк-HXJT-868,15-10-2019,03:29:28,успешно,да,2.31
физ. лицо,списание средств,4345.03,безналичный,Брест,МаксБанк-BKDV-574,09-05-2012,01:04:48,неправильный ввод пин-кода,да,255.39
юр. лицо,списание средств,1368.74,безналичный,Брест,Белинвестбанк-YXMR-226,10-06-2020,17:34:11,недостаточно средств,нет,0.0
физ. лицо,списание средств,3031.17,наличный,Гродно,Приорбанк-PSUP-376,28-07-2002,07:05:34,успешно,нет,0.0
юр. лицо,получение средств,3810.0,наличный,Брест,Беларусбанк-WDDY-936,03-04-2001,07:38:50,успешно,нет,0.0
физ. лицо,списание средств,1475.58,безналичный,Витебск,Беларусбанк-BRHA-083,28-08-2022,19:47:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1313.49,безналичный,Могилев,МаксБанк-CTOM-994,23-03-2017,13:40:46,успешно,нет,0.0
физ. лицо,списание средств,4199.54,наличный,Брест,МаксБанк-WIHM-277,27-08-2012,13:24:09,недостаточно средств,да,142.94
юр. лицо,списание средств,3533.56,наличный,Могилев,БелАгропромбанк-OGZS-887,24-02-2021,11:41:47,недостаточно средств,нет,0.0
юр. лицо,получение средств,669.5,безналичный,Гомель,Белинвестбанк-YHKE-395,26-01-2005,04:03:44,успешно,нет,0.0
физ. лицо,списание средств,4280.1,безналичный,Могилев,Беларусбанк-FOPZ-768,28-07-2006,16:22:54,недостаточно средств,нет,0.0
физ. лицо,получение средств,4707.91,безналичный,Витебск,МаксБанк-PEWI-838,10-02-2018,09:41:47,успешно,нет,0.0
